NOS3,ABCC9,ESR1,,NAA20,RCL1,SSC5D,C11orf24,AQP12A,DDB1
OLR1,RYR2,SERPINE,,EXOSC10,PLG,ART5,ADAMTS1,AQP8,DDX18
TNF,GATA6,IL6,,RTCB,RAMP3,FOXO3,ADAMTS2,ARGFX,DDX46
SELE,F10,PPARGC1A,,FAM161B,BCAS4,COL6A1,ADIPOQ,ART1,DDX49
ICAM1,F9,CCHCR1,,EIF2S3,SEPT6,MYL6,ADK,ASB17,DDX51
SCARB1,KCNH2,NOX1,,RFC4,KDM5C,SLC27A1,ADM,ASIC5,DNM2
PPARG,GJA1,PPP6R3,,NSFL1C,HSPA2,KLF2,ALAS2,ASZ1,DYNC1H1
PPARA,SELP,PRD,,EIF3I,CHAC1,MCM5,AMN1,ATOH1,DYNC1I2
SERPINE1,VWF,SDC1,,FGF2,EXOC3L2,NR3C2,APC,ATP4B,EEF2
HMGCR,PF4,PLN,,BOK,ACE2,PDP2,ARAP2,ATP6V1G3,EFTUD2
LPA,PLAT,STXBP1,,SLC25A5,PLVAP,TPPP3,ATP8B1,AWAT1,EIF1AX
LPL,MIR199A1,CD33,,PIGF,ATP6V1E1,RNF166,ATRX,AWAT2,EIF2B4
EDN1,LMNA,SELENBP1,,CFAP36,TMEM204,MYH7,B3GALNT1,B3GNT6,EIF2S2
ACE,AGTR1,FSD1L,,NCEH1,SLC41A1,LOXL1,BAMBI,BANF2,EIF3A
SELP,MIR21,FSD1,,SEC11C,SLC39A8,ALDH1A2,BAZ1B,BARHL1,EIF3B
ABCG1,NR3C2,VWF,,ZNF503,TGFB1I1,ITGA9,BCL2L11,BEND2,EIF3C
RETN,PPBP,TNNI3,,ZNF583,NLRC5,SH3PXD2B,BCLAF1,BHLHE23,EIF3D
NLRP3,ADRB1,TLR4,,PSMD14,PKLR,MEOX1,BIRC6,BIRC8,EIF3F
LCAT,CRP,TLR2,,KIDINS220,ETNK2,KCNJ2,BNIP3,BMP10,EIF3G
PLA2G7,ATFB5,NPPB,,ATP6AP2,AHSG,RREB1,BPGM,BMP15,EIF3I
VWF,SLN,NPY,,TXLNG,FAM83A,CKS2,BPTF,BPIFA1,EIF4A3
MMP9,ATFB1,MPST,,TRIM55,ITIH2,PRELID1,BTNL9,BPIFA3,EIF5B
ALB,ATFB2,CTRL,,MBD2,MFSD6,TPPP,C1QB,BPIFB3,ERH
LEP,PITX2,ADRB2,,YIPF2,C7orf31,ARF6,C3,BPIFB6,ETF1
IL1B,MIR223,GRK2,,KDM6A,ROBO4,PAPLN,CALR3,BPIFC,EXOSC10
CXCL8,IL6,ACE,,FAM46B,SV2A,C14orf180,CAPG,BPY2,FTSJ3
AGER,F3,EGF,,CD274,CLIC6,KLHL38,CA3,BRDT,GAR1
APOC3,CYP11B2,ERBB2,,CCT8,TAL1,C1QTNF6,CCDC141,BSND,GNL3
CD36,TNNI3,TLR6,,TPMT,ERMAP,RACGAP1,CCL15,C10orf113,GTF3C4
LIPC,MIR133A1,ESR2,,DDX3X,CAMKV,RCAN1,CCL23,C10orf120,HAUS7
AGTR1,EMD,FLNA,,,GFI1B,CLIC1,CCL7,C10orf53,HEATR1
THBD,TNNT2,FMR1,,,SCN3B,,CD44,C11orf40,HNRNPC
ELN,CYP2C9,SMUG1,,,CD3D,,CDH11,C12orf40,HNRNPK
PLTP,MIR22,FSHMD1A,,,SERPINF2,,CDKN1B,C14orf183,HNRNPM
MSR1,KCND3,GLS,,,PAQR8,,CEP350,C15orf55,HNRNPU
MPO,CACNA1C,NR4A1,,,NINJ2,,CHD4,C16orf78,HSPA9
HSPD1,ALB,IL2,,,SPTBN2,,CHD6,C17orf102,HSPE1
CYP2J2,,LPA,,,PTRF,,CIRBP,C17orf78,INTS9
PON3,,MMP8,,,LDLRAD3,,CLASP1,C18orf26,KARS
PON2,,METAP2,,,FJX1,,CLIC1,C19orf45,KPNB1
KLF4,,AKT1,,,OXTR,,CNKSR1,C1orf146,LIAS
APOA2,,GSK3A,,,ZNF101,,COQ10B,C20orf173,LSM4
IL18,,NPPA,,,OSBP2,,CORO1A,C20orf203,LSM6
F3,,CCR2,,,TRPV2,,COTL1,C20orf79,MRPS31
PCSK9,,TIMD4,,,FBLL1,,CP,C2orf57,MSANTD3
LIPG,,LYVE1,,,SLC6A9,,CPXM2,C2orf61,NACA
MTHFR,,ATP2A2,,,SERPINA1,,CREBBP,C2orf71,NAPA
MGP,,RYR2,,,RPS4X,,CTSZ,C2orf83,NAPG
FABP4,,SLC8A1,,,HLA-G,,DCLK1,C3orf30,NEDD8
SOAT1,,FOS,,,MT1H,,DENND1B,C4orf40,NHP2L1
CX3CR1,,MAPK3,,,RP11-706O15.1,,EFHD2,C5orf20,NUDT21
ABCG5,,MAPK1,,,COX6A1P2,,EGLN3,C6orf10,NUP133
NAMPT,,HSPA1A,,,AC007036.4,,EGR2,C7orf66,NUP205
CYBA,,,,,IDI2-AS1,,EHD1,C7orf71,NUP54
HMOX1,,,,,AC007969.5,,EMP1,C8A,NUP93
PLAT,,,,,RPS4XP11,,EVI2A,C8B,NUP98
NOS2,,,,,AC009413.2,,F13A1,C8orf17,NXF1
CD40,,,,,INMT,,FBXO32,C8orf86,PABPN1
AGT,,,,,RP11-734J24.1,,FERMT3,C9orf53,PAPOLA
KNG1,,,,,CFAP57,,FGF18,CABP2,PFDN2
LDLR,,,,,RP11-498E2.9,,FGL2,CABP5,PHB
,,,,,XIST,,FOXN2,CABS1,PHB2
,,,,,,,FRMD4B,CACNG2,PHF5A
,,,,,,,FSTL1,CACNG3,POLR2D
,,,,,,,GCC2,CACNG5,POLR2F
,,,,,,,GCK,CATSPER4,POLR2I
,,,,,,,GCNT2,CCDC155,PPP2R1A
,,,,,,,GDA,CCDC172,PRKAB2
,,,,,,,GDF10,CCDC83,PRPF18
,,,,,,,GJA3,CCKAR,PRPF19
,,,,,,,GTF3C1,CCL1,PRPF3
,,,,,,,GULP1,CCT8L2,PRPF31
,,,,,,,HACD1,CD200R1L,PRPF38A
,,,,,,,HECW2,CDCP2,PRPF8
,,,,,,,HMGCS2,CDX2,PRUNE
,,,,,,,HS3ST1,CDX4,PSMA1
,,,,,,,HSD11B1,CDY1,PSMA2
,,,,,,,HSPA1B,CDY1B,PSMA3
,,,,,,,HSPA1A,CDY2A,PSMA6
,,,,,,,ILF3,CDY2B,PSMB2
,,,,,,,ITCH,CEACAM7,PSMB3
,,,,,,,JAM2,CELA2A,PSMC1
,,,,,,,JMJD6,CELA3A,PSMC2
,,,,,,,KCND2,CELA3B,PSMC4
,,,,,,,LCN2,CER1,PSMD1
,,,,,,,LCOR,CETN1,PSMD11
,,,,,,,LCP1,CFHR2,PSMD7
,,,,,,,LDB2,CFHR5,QARS
,,,,,,,LDB3,CHAT,RAN
,,,,,,,LGALS3,CHRNA6,RBM17
,,,,,,,LIMCH1,CHRNB3,RILPL2
,,,,,,,LIMD2,CLCA1,RPA1
,,,,,,,LYVE1,CLDN17,RPA2
,,,,,,,MAFF,CLEC2A,RPL10
,,,,,,,MAGI3,CLEC3A,RPL10A
,,,,,,,MAPK4,CLEC6A,RPL11
,,,,,,,CLEC10A,CLRN1,RPL12
,,,,,,,MMP3,CNBD1,RPL13
,,,,,,,MS4A6A,CNGA2,RPL13A
,,,,,,,MS4A6E,CNGB3,RPL14
,,,,,,,MYBPC2,CNPY1,RPL18
,,,,,,,MYCBP,CNTNAP5,RPL18A
,,,,,,,MYL1,COL20A1,RPL19
,,,,,,,MYOT,COX7B2,RPL23A
,,,,,,,NEDD4,CPXCR1,RPL24
,,,,,,,NFKBIZ,CRNN,RPL26
,,,,,,,NMRK2,CRX,RPL27
,,,,,,,NOSTRIN,CRYGB,RPL3
,,,,,,,NPPB,CSH1,RPL30
,,,,,,,NUCB2,CSHL1,RPL31
,,,,,,,OSMR,CSN2,RPL32
,,,,,,,P4HA1,CSN3,RPL34
,,,,,,,PER2,CST11,RPL35
,,,,,,,PFKP,CST4,RPL35A
,,,,,,,PLA1A,CST5,RPL36
,,,,,,,PLA2G4A,CST8,RPL37
,,,,,,,PLEK,CST9,RPL37A
,,,,,,,PLEKHO1,CST9L,RPL38
,,,,,,,PLSCR1,CSTL1,RPL4
,,,,,,,PMM1,CT45A2,RPL5
,,,,,,,PPM1L,CT45A4,RPL6
,,,,,,,PRKACB,CT45A5,RPL7
,,,,,,,PROX1,CT47A11,RPL7A
,,,,,,,PRPS2,CTCFL,RPLP0
,,,,,,,PSAT1,CTRB1,RPLP2
,,,,,,,PTGIS,CXorf1,RPN2
,,,,,,,PTGS2,CXorf66,RPS11
,,,,,,,PTHLH,CYLC2,RPS13
,,,,,,,PTPRF,CYP11B1,RPS14
,,,,,,,RAB20,CYP11B2,RPS15
,,,,,,,RAD23B,CYP26C1,RPS15A
,,,,,,,RBP7,CYP2A13,RPS17
,,,,,,,RGS19,CYP2C19,RPS18
,,,,,,,RGS2,CYP4A22,RPS19
,,,,,,,RHOBTB3,CYP4F8,RPS20
,,,,,,,RNPS1,CYP7A1,RPS24
,,,,,,,ROR1,DAZ1,RPS26
,,,,,,,SBF2,DAZ2,RPS27A
,,,,,,,SF3B2,DAZ3,RPS3
,,,,,,,SIAH2,DAZ4,RPS3A
,,,,,,,SLAMF9,DAZL,RPS4X
,,,,,,,SLC25A36,DCAF4L2,RPS5
,,,,,,,SLC33A1,DCAF8L1,RPS6
,,,,,,,SLC35A4,DDI1,RPS7
,,,,,,,SLC39A6,DDX4,RPS8
,,,,,,,SLC41A3,DEFA5,RPS9
,,,,,,,SMC1A,DEFA6,RPSA
,,,,,,,SMO,DEFB103B,RRM1
,,,,,,,SNCA,DEFB104A,RUVBL1
,,,,,,,SOX4,DEFB106A,RUVBL2
,,,,,,,ST8SIA6,DEFB107A,SDAD1
,,,,,,,STBD1,DEFB118,SF3A1
,,,,,,,SULF1,DEFB123,SF3A2
,,,,,,,SYNPO2L,DEFB126,SF3B1
,,,,,,,TBC1D4,DEFB127,SF3B2
,,,,,,,TFPI2,DEFB129,SF3B3
,,,,,,,THBS1,DGAT2L6,SF3B4
,,,,,,,TIMP1,DGKK,SF3B5
,,,,,,,TMEM45A,DIRC1,SFPQ
,,,,,,,TMTC2,DMP1,SHFM1
,,,,,,,TNNT2,DMRT1,SMC3
,,,,,,,TNRC18,DMRTB1,SNRNP200
,,,,,,,TP53I11,DMRTC2,SNRNP27
,,,,,,,TRPS1,DPCR1,SNRPD1
,,,,,,,TTN,DPRX,SNRPD2
,,,,,,,TUBA8,DRD3,SRCAP
,,,,,,,TXNRD1,DRGX,SRFBP1
,,,,,,,UBFD1,DSCR4,SRSF1
,,,,,,,UBTF,DSG4,SRSF3
,,,,,,,UCK2,DSPP,SUPT5H
,,,,,,,UPP1,DTX2,SUPT6H
,,,,,,,USP7,DUSP21,SUPV3L1
,,,,,,,VCAM1,DUX4,TFIP11
,,,,,,,VCAN,DUX4L7,THOP1
,,,,,,,VWF,DUXA,TIMM10
,,,,,,,YPEL2,EFCAB3,TSTA3
,,,,,,,ZER1,EGR4,TUBA1B
,,,,,,,,ENTHD1,TUBGCP2
,,,,,,,,ESX1,U2AF1
,,,,,,,,EVX1,U2AF2
,,,,,,,,F13B,UBA1
,,,,,,,,F9,USP39
,,,,,,,,FABP2,VCP
,,,,,,,,FAM106A,WDR12
,,,,,,,,FAM47A,WDR60
,,,,,,,,FAM47B,WDR61
,,,,,,,,FAM47C,XAB2
,,,,,,,,FAM71A,XPO1
,,,,,,,,FAM71B,YY1
,,,,,,,,FAM71C,ZBTB48
,,,,,,,,FAM75A7,ZC3H13
,,,,,,,,FAM75D1,ZNF207
,,,,,,,,FCRL4,
,,,,,,,,FEZF1,
,,,,,,,,FEZF2,
,,,,,,,,FFAR1,
,,,,,,,,FGF3,
,,,,,,,,FGF4,
,,,,,,,,FGF6,
,,,,,,,,FIGLA,
,,,,,,,,FLG2,
,,,,,,,,FMR1NB,
,,,,,,,,FNDC7,
,,,,,,,,FNDC9,
,,,,,,,,FOXB1,
,,,,,,,,FOXB2,
,,,,,,,,FOXD4L3,
,,,,,,,,FOXD4L4,
,,,,,,,,FOXE3,
,,,,,,,,FOXN1,
,,,,,,,,FOXR1,
,,,,,,,,FRG2,
,,,,,,,,FRMD7,
,,,,,,,,FSCB,
,,,,,,,,FUT5,
,,,,,,,,FUT9,
,,,,,,,,G6PC,
,,,,,,,,GABRA1,
,,,,,,,,GABRA6,
,,,,,,,,GAGE1,
,,,,,,,,GAGE2C,
,,,,,,,,GALNTL5,
,,,,,,,,GALR1,
,,,,,,,,GALR3,
,,,,,,,,GBP7,
,,,,,,,,GCG,
,,,,,,,,GCM2,
,,,,,,,,GDF2,
,,,,,,,,GFRA4,
,,,,,,,,GFRAL,
,,,,,,,,GH2,
,,,,,,,,GHRH,
,,,,,,,,GHSR,
,,,,,,,,GIF,
,,,,,,,,GJA10,
,,,,,,,,GJA8,
,,,,,,,,GK2,
,,,,,,,,GKN2,
,,,,,,,,GLRA1,
,,,,,,,,GLRA2,
,,,,,,,,GLT6D1,
,,,,,,,,GML,
,,,,,,,,GOLGA6L2,
,,,,,,,,GOT1L1,
,,,,,,,,GPR101,
,,,,,,,,GPR111,
,,,,,,,,GPR119,
,,,,,,,,GPR128,
,,,,,,,,GPR139,
,,,,,,,,GPR144,
,,,,,,,,GPR148,
,,,,,,,,GPR151,
,,,,,,,,GPR152,
,,,,,,,,GPR26,
,,,,,,,,GPR31,
,,,,,,,,GPR32,
,,,,,,,,GPR45,
,,,,,,,,GPR50,
,,,,,,,,GPR52,
,,,,,,,,GPR78,
,,,,,,,,GPRC6A,
,,,,,,,,GPX5,
,,,,,,,,GPX6,
,,,,,,,,GRK1,
,,,,,,,,GRM4,
,,,,,,,,GRM5,
,,,,,,,,GRM6,
,,,,,,,,GSC2,
,,,,,,,,GSTA5,
,,,,,,,,GSX1,
,,,,,,,,GSX2,
,,,,,,,,GUCA2A,
,,,,,,,,GUCY2F,
,,,,,,,,H1FOO,
,,,,,,,,H2BFM,
,,,,,,,,H2BFWT,
,,,,,,,,HAO1,
,,,,,,,,HCRTR2,
,,,,,,,,HDGFL1,
,,,,,,,,HHLA1,
,,,,,,,,HIST1H2AA,
,,,,,,,,HIST1H2BA,
,,,,,,,,HIST1H4G,
,,,,,,,,HMX1,
,,,,,,,,HOXB1,
,,,,,,,,HOXD12,
,,,,,,,,HRG,
,,,,,,,,HRH3,
,,,,,,,,HSFY1,
,,,,,,,,HSFY2,
,,,,,,,,HTN3,
,,,,,,,,HTR1A,
,,,,,,,,HTR2C,
,,,,,,,,HTR3C,
,,,,,,,,HTR3D,
,,,,,,,,HTR3E,
,,,,,,,,HTR5A,
,,,,,,,,HTR6,
,,,,,,,,IAPP,
,,,,,,,,IFIT1B,
,,,,,,,,IFNA10,
,,,,,,,,IFNA14,
,,,,,,,,IFNA16,
,,,,,,,,IFNA17,
,,,,,,,,IFNA2,
,,,,,,,,IFNA21,
,,,,,,,,IFNA4,
,,,,,,,,IFNA5,
,,,,,,,,IFNA6,
,,,,,,,,IFNA7,
,,,,,,,,IFNA8,
,,,,,,,,IFNB1,
,,,,,,,,IFNK,
,,,,,,,,IFNW1,
,,,,,,,,IL12B,
,,,,,,,,IL13,
,,,,,,,,IL17A,
,,,,,,,,IL17F,
,,,,,,,,IL1F10,
,,,,,,,,IL21,
,,,,,,,,IL22,
,,,,,,,,IL25,
,,,,,,,,IL26,
,,,,,,,,IL28A,
,,,,,,,,IL28B,
,,,,,,,,IL29,
,,,,,,,,IL3,
,,,,,,,,IL31,
,,,,,,,,IL36A,
,,,,,,,,IL36B,
,,,,,,,,IL36RN,
,,,,,,,,IL9,
,,,,,,,,INS,
,,,,,,,,INSL5,
,,,,,,,,INSL6,
,,,,,,,,INSM2,
,,,,,,,,INSRR,
,,,,,,,,IQCF1,
,,,,,,,,IRGC,
,,,,,,,,ISX,
,,,,,,,,ITIH6,
,,,,,,,,IZUMO2,
,,,,,,,,KCNA10,
,,,,,,,,KCNB2,
,,,,,,,,KCNG4,
,,,,,,,,KCNK10,
,,,,,,,,KCNK16,
,,,,,,,,KCNK18,
,,,,,,,,KCNV1,
,,,,,,,,KHDC3L,
,,,,,,,,KIF2B,
,,,,,,,,KIR2DL1,
,,,,,,,,KIR3DL3,
,,,,,,,,KLK12,
,,,,,,,,KLK9,
,,,,,,,,KRT2,
,,,,,,,,KRT25,
,,,,,,,,KRT26,
,,,,,,,,KRT28,
,,,,,,,,KRT33A,
,,,,,,,,KRT35,
,,,,,,,,KRT36,
,,,,,,,,KRT37,
,,,,,,,,KRT38,
,,,,,,,,KRT40,
,,,,,,,,KRT71,
,,,,,,,,KRT73,
,,,,,,,,KRT74,
,,,,,,,,KRT75,
,,,,,,,,KRT76,
,,,,,,,,KRT77,
,,,,,,,,KRT78,
,,,,,,,,KRT82,
,,,,,,,,KRT84,
,,,,,,,,KRT85,
,,,,,,,,KRT86,
,,,,,,,,KRT9,
,,,,,,,,KRTAP1-1,
,,,,,,,,KRTAP10-1,
,,,,,,,,KRTAP10-10,
,,,,,,,,KRTAP10-11,
,,,,,,,,KRTAP10-12,
,,,,,,,,KRTAP10-2,
,,,,,,,,KRTAP10-4,
,,,,,,,,KRTAP10-5,
,,,,,,,,KRTAP10-6,
,,,,,,,,KRTAP10-7,
,,,,,,,,KRTAP10-8,
,,,,,,,,KRTAP10-9,
,,,,,,,,KRTAP11-1,
,,,,,,,,KRTAP13-1,
,,,,,,,,KRTAP13-2,
,,,,,,,,KRTAP13-3,
,,,,,,,,KRTAP13-4,
,,,,,,,,KRTAP15-1,
,,,,,,,,KRTAP17-1,
,,,,,,,,KRTAP19-3,
,,,,,,,,KRTAP23-1,
,,,,,,,,KRTAP26-1,
,,,,,,,,KRTAP3-2,
,,,,,,,,KRTAP4-11,
,,,,,,,,KRTAP4-12,
,,,,,,,,KRTAP4-2,
,,,,,,,,KRTAP4-4,
,,,,,,,,KRTAP4-7,
,,,,,,,,KRTAP5-2,
,,,,,,,,KRTAP9-2,
,,,,,,,,KRTAP9-3,
,,,,,,,,KRTAP9-4,
,,,,,,,,LALBA,
,,,,,,,,LBX1,
,,,,,,,,LCN9,
,,,,,,,,LCT,
,,,,,,,,LGALS13,
,,,,,,,,LGALS14,
,,,,,,,,LHFPL5,
,,,,,,,,LHX3,
,,,,,,,,LHX5,
,,,,,,,,LIM2,
,,,,,,,,LIN28A,
,,,,,,,,LIPM,
,,,,,,,,LOR,
,,,,,,,,LRIT1,
,,,,,,,,LRIT2,
,,,,,,,,LRRC10,
,,,,,,,,LUZP4,
,,,,,,,,LYZL1,
,,,,,,,,LYZL2,
,,,,,,,,LYZL6,
,,,,,,,,MAGEA10,
,,,,,,,,MAGEA11,
,,,,,,,,MAGEB1,
,,,,,,,,MAGEB10,
,,,,,,,,MAGEB18,
,,,,,,,,MAGEB3,
,,,,,,,,MAGEB4,
,,,,,,,,MAGEC3,
,,,,,,,,MAS1,
,,,,,,,,MAS1L,
,,,,,,,,MBD3L1,
,,,,,,,,MBD3L2,
,,,,,,,,MBL2,
,,,,,,,,MC2R,
,,,,,,,,MC3R,
,,,,,,,,MC5R,
,,,,,,,,MEP1A,
,,,,,,,,MEP1B,
,,,,,,,,MEPE,
,,,,,,,,MFRP,
,,,,,,,,MMD2,
,,,,,,,,MMP20,
,,,,,,,,MMP21,
,,,,,,,,MMP26,
,,,,,,,,MMP27,
,,,,,,,,MOGAT3,
,,,,,,,,MORC1,
,,,,,,,,MRGPRD,
,,,,,,,,MRGPRX1,
,,,,,,,,MRGPRX2,
,,,,,,,,MRGPRX4,
,,,,,,,,MS4A10,
,,,,,,,,MS4A13,
,,,,,,,,MS4A5,
,,,,,,,,MSGN1,
,,,,,,,,MT1B,
,,,,,,,,MTNR1B,
,,,,,,,,MUC17,
,,,,,,,,MUC7,
,,,,,,,,MYBPC3,
,,,,,,,,MYF5,
,,,,,,,,NANOGNB,
,,,,,,,,NANOS2,
,,,,,,,,NCR2,
,,,,,,,,NDST4,
,,,,,,,,NEUROD2,
,,,,,,,,NEUROD4,
,,,,,,,,NEUROD6,
,,,,,,,,NEUROG1,
,,,,,,,,NKX2-1,
,,,,,,,,NKX2-2,
,,,,,,,,NLRP4,
,,,,,,,,NLRP5,
,,,,,,,,NLRP8,
,,,,,,,,NLRP9,
,,,,,,,,NMS,
,,,,,,,,NOBOX,
,,,,,,,,NOTO,
,,,,,,,,NOX3,
,,,,,,,,NPFFR1,
,,,,,,,,NPHS2,
,,,,,,,,NPSR1,
,,,,,,,,NPVF,
,,,,,,,,NR2E1,
,,,,,,,,NYX,
,,,,,,,,OC90,
,,,,,,,,OLIG2,
,,,,,,,,OLIG3,
,,,,,,,,OPALIN,
,,,,,,,,OPN1LW,
,,,,,,,,OPN5,
,,,,,,,,OR10A2,
,,,,,,,,OR10A4,
,,,,,,,,OR10A5,
,,,,,,,,OR10H1,
,,,,,,,,OR10H2,
,,,,,,,,OR10H3,
,,,,,,,,OR10J1,
,,,,,,,,OR10R2,
,,,,,,,,OR10S1,
,,,,,,,,OR10X1,
,,,,,,,,OR10Z1,
,,,,,,,,OR11A1,
,,,,,,,,OR12D2,
,,,,,,,,OR12D3,
,,,,,,,,OR13C3,
,,,,,,,,OR13D1,
,,,,,,,,OR14A16,
,,,,,,,,OR1A1,
,,,,,,,,OR1A2,
,,,,,,,,OR1B1,
,,,,,,,,OR1D2,
,,,,,,,,OR1E1,
,,,,,,,,OR1E2,
,,,,,,,,OR1G1,
,,,,,,,,OR1L6,
,,,,,,,,OR1N2,
,,,,,,,,OR1S1,
,,,,,,,,OR1S2,
,,,,,,,,OR2AK2,
,,,,,,,,OR2AT4,
,,,,,,,,OR2C1,
,,,,,,,,OR2C3,
,,,,,,,,OR2D2,
,,,,,,,,OR2D3,
,,,,,,,,OR2F1,
,,,,,,,,OR2G2,
,,,,,,,,OR2G3,
,,,,,,,,OR2H1,
,,,,,,,,OR2J2,
,,,,,,,,OR2L3,
,,,,,,,,OR2T1,
,,,,,,,,OR2T10,
,,,,,,,,OR2T12,
,,,,,,,,OR2T2,
,,,,,,,,OR2T27,
,,,,,,,,OR2T33,
,,,,,,,,OR2T4,
,,,,,,,,OR2T5,
,,,,,,,,OR2W1,
,,,,,,,,OR3A1,
,,,,,,,,OR3A2,
,,,,,,,,OR3A3,
,,,,,,,,OR4C11,
,,,,,,,,OR4C3,
,,,,,,,,OR4D1,
,,,,,,,,OR4D10,
,,,,,,,,OR4D11,
,,,,,,,,OR4D9,
,,,,,,,,OR4K17,
,,,,,,,,OR51B6,
,,,,,,,,OR51D1,
,,,,,,,,OR51F2,
,,,,,,,,OR51T1,
,,,,,,,,OR51V1,
,,,,,,,,OR52A1,
,,,,,,,,OR52A5,
,,,,,,,,OR52B2,
,,,,,,,,OR52B6,
,,,,,,,,OR52E8,
,,,,,,,,OR52I2,
,,,,,,,,OR52K2,
,,,,,,,,OR52L1,
,,,,,,,,OR52M1,
,,,,,,,,OR52R1,
,,,,,,,,OR52W1,
,,,,,,,,OR56A1,
,,,,,,,,OR56A4,
,,,,,,,,OR56B1,
,,,,,,,,OR5AU1,
,,,,,,,,OR5C1,
,,,,,,,,OR5I1,
,,,,,,,,OR5M1,
,,,,,,,,OR5M10,
,,,,,,,,OR5P2,
,,,,,,,,OR5P3,
,,,,,,,,OR5R1,
,,,,,,,,OR5T1,
,,,,,,,,OR5T2,
,,,,,,,,OR5T3,
,,,,,,,,OR5V1,
,,,,,,,,OR5W2,
,,,,,,,,OR6A2,
,,,,,,,,OR6K6,
,,,,,,,,OR6S1,
,,,,,,,,OR6V1,
,,,,,,,,OR7A17,
,,,,,,,,OR7C2,
,,,,,,,,OR7D4,
,,,,,,,,OR7G2,
,,,,,,,,OR8A1,
,,,,,,,,OR8B8,
,,,,,,,,OR8G5,
,,,,,,,,OR8U1,
,,,,,,,,OR9Q2,
,,,,,,,,OTOP1,
,,,,,,,,OTOP3,
,,,,,,,,OTOR,
,,,,,,,,OTP,
,,,,,,,,OTUD6A,
,,,,,,,,OTX2,
,,,,,,,,PAGE3,
,,,,,,,,PANX3,
,,,,,,,,PASD1,
,,,,,,,,PAX1,
,,,,,,,,PAX4,
,,,,,,,,PBOV1,
,,,,,,,,PDCL2,
,,,,,,,,PDE6H,
,,,,,,,,PDILT,
,,,,,,,,PDX1,
,,,,,,,,PDYN,
,,,,,,,,PGK2,
,,,,,,,,PGLYRP2,
,,,,,,,,PGLYRP3,
,,,,,,,,PIWIL1,
,,,,,,,,PIWIL3,
,,,,,,,,PKD1L3,
,,,,,,,,PLA2G2E,
,,,,,,,,PLA2G2F,
,,,,,,,,PLA2G4E,
,,,,,,,,PLAC1L,
,,,,,,,,PNLIP,
,,,,,,,,PNLIPRP1,
,,,,,,,,PNLIPRP2,
