gene,ps,mrca_name
ALDH3A2,1,Cellular Organisms: 3.6 BYA
MSH5,1,Cellular Organisms: 3.6 BYA
SPNS1,1,Cellular Organisms: 3.6 BYA
QARS1,1,Cellular Organisms: 3.6 BYA
HSPE1,1,Cellular Organisms: 3.6 BYA
DLG4,1,Cellular Organisms: 3.6 BYA
MIB2,1,Cellular Organisms: 3.6 BYA
HARS2,1,Cellular Organisms: 3.6 BYA
CARS1,1,Cellular Organisms: 3.6 BYA
CFTR,1,Cellular Organisms: 3.6 BYA
DIMT1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
CAMK2G,1,Cellular Organisms: 3.6 BYA
RAI14,1,Cellular Organisms: 3.6 BYA
PDCD11,1,Cellular Organisms: 3.6 BYA
NDUFS1,1,Cellular Organisms: 3.6 BYA
MRPL27,1,Cellular Organisms: 3.6 BYA
SRR,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
AK2,1,Cellular Organisms: 3.6 BYA
MARK4,1,Cellular Organisms: 3.6 BYA
SLC12A5,1,Cellular Organisms: 3.6 BYA
ANKRD10,1,Cellular Organisms: 3.6 BYA
ANKDD1A,1,Cellular Organisms: 3.6 BYA
EGFR,1,Cellular Organisms: 3.6 BYA
GMPR2,1,Cellular Organisms: 3.6 BYA
NAALAD2,1,Cellular Organisms: 3.6 BYA
SLC12A5,1,Cellular Organisms: 3.6 BYA
TMX3,1,Cellular Organisms: 3.6 BYA
NLGN3,1,Cellular Organisms: 3.6 BYA
MSH5-SAPCD1,1,Cellular Organisms: 3.6 BYA
AARS1,1,Cellular Organisms: 3.6 BYA
ANK2,1,Cellular Organisms: 3.6 BYA
MACROH2A1,1,Cellular Organisms: 3.6 BYA
MTAP,1,Cellular Organisms: 3.6 BYA
MTHFR,1,Cellular Organisms: 3.6 BYA
TAP2,1,Cellular Organisms: 3.6 BYA
CDKL4,1,Cellular Organisms: 3.6 BYA
GLS2,1,Cellular Organisms: 3.6 BYA
CAMK2G,1,Cellular Organisms: 3.6 BYA
RAD51C,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
TNK2,1,Cellular Organisms: 3.6 BYA
DLG4,1,Cellular Organisms: 3.6 BYA
ERBIN,1,Cellular Organisms: 3.6 BYA
MOV10,1,Cellular Organisms: 3.6 BYA
MSH5,1,Cellular Organisms: 3.6 BYA
ABCB7,1,Cellular Organisms: 3.6 BYA
PDIA2,1,Cellular Organisms: 3.6 BYA
PAICS,1,Cellular Organisms: 3.6 BYA
MPG,1,Cellular Organisms: 3.6 BYA
CDK1,1,Cellular Organisms: 3.6 BYA
GFUS,1,Cellular Organisms: 3.6 BYA
AK4,1,Cellular Organisms: 3.6 BYA
MARK1,1,Cellular Organisms: 3.6 BYA
MATK,1,Cellular Organisms: 3.6 BYA
THNSL2,1,Cellular Organisms: 3.6 BYA
NA,1,Cellular Organisms: 3.6 BYA
ARSL,1,Cellular Organisms: 3.6 BYA
DDX52,1,Cellular Organisms: 3.6 BYA
GANAB,1,Cellular Organisms: 3.6 BYA
MARK3,1,Cellular Organisms: 3.6 BYA
NAPEPLD,1,Cellular Organisms: 3.6 BYA
RPS15,1,Cellular Organisms: 3.6 BYA
ACACA,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
FKBP1A,1,Cellular Organisms: 3.6 BYA
PRDX1,1,Cellular Organisms: 3.6 BYA
IARS1,1,Cellular Organisms: 3.6 BYA
NDUFS2,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
RPS16,1,Cellular Organisms: 3.6 BYA
TCERG1,1,Cellular Organisms: 3.6 BYA
IFIT3,1,Cellular Organisms: 3.6 BYA
NDUFV1,1,Cellular Organisms: 3.6 BYA
AARS1,1,Cellular Organisms: 3.6 BYA
MAPK10,1,Cellular Organisms: 3.6 BYA
SERPINA6,1,Cellular Organisms: 3.6 BYA
CLK2,1,Cellular Organisms: 3.6 BYA
POLL,1,Cellular Organisms: 3.6 BYA
CAMK2G,1,Cellular Organisms: 3.6 BYA
MPP3,1,Cellular Organisms: 3.6 BYA
AURKC,1,Cellular Organisms: 3.6 BYA
MAP2K1,1,Cellular Organisms: 3.6 BYA
ROR2,1,Cellular Organisms: 3.6 BYA
LARS1,1,Cellular Organisms: 3.6 BYA
ANKMY2,1,Cellular Organisms: 3.6 BYA
FKBP7,1,Cellular Organisms: 3.6 BYA
NAPRT,1,Cellular Organisms: 3.6 BYA
SSBP1,1,Cellular Organisms: 3.6 BYA
DHRS11,1,Cellular Organisms: 3.6 BYA
DNAJC16,1,Cellular Organisms: 3.6 BYA
DHFR,1,Cellular Organisms: 3.6 BYA
NTRK1,1,Cellular Organisms: 3.6 BYA
SLC2A11,1,Cellular Organisms: 3.6 BYA
PMS2,1,Cellular Organisms: 3.6 BYA
TTC6,1,Cellular Organisms: 3.6 BYA
TRNT1,1,Cellular Organisms: 3.6 BYA
NAALAD2,1,Cellular Organisms: 3.6 BYA
TRMU,1,Cellular Organisms: 3.6 BYA
TANGO2,1,Cellular Organisms: 3.6 BYA
CDK7,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
NSF,1,Cellular Organisms: 3.6 BYA
DHDDS,1,Cellular Organisms: 3.6 BYA
SLC1A2,1,Cellular Organisms: 3.6 BYA
HYOU1,1,Cellular Organisms: 3.6 BYA
MAPK14,1,Cellular Organisms: 3.6 BYA
PMPCA,1,Cellular Organisms: 3.6 BYA
SLC12A6,1,Cellular Organisms: 3.6 BYA
TRPC7,1,Cellular Organisms: 3.6 BYA
IDS,1,Cellular Organisms: 3.6 BYA
PTS,1,Cellular Organisms: 3.6 BYA
NARS2,1,Cellular Organisms: 3.6 BYA
CSNK2A1,1,Cellular Organisms: 3.6 BYA
GGT1,1,Cellular Organisms: 3.6 BYA
MAPK10,1,Cellular Organisms: 3.6 BYA
PDPR,1,Cellular Organisms: 3.6 BYA
STK33,1,Cellular Organisms: 3.6 BYA
ACP5,1,Cellular Organisms: 3.6 BYA
DHRS11,1,Cellular Organisms: 3.6 BYA
HBS1L,1,Cellular Organisms: 3.6 BYA
CASK,1,Cellular Organisms: 3.6 BYA
CUTC,1,Cellular Organisms: 3.6 BYA
CSNK1G1,1,Cellular Organisms: 3.6 BYA
NDUFV1,1,Cellular Organisms: 3.6 BYA
RFXANK,1,Cellular Organisms: 3.6 BYA
SAE1,1,Cellular Organisms: 3.6 BYA
SGPL1,1,Cellular Organisms: 3.6 BYA
FKBP15,1,Cellular Organisms: 3.6 BYA
ACADM,1,Cellular Organisms: 3.6 BYA
HINT1,1,Cellular Organisms: 3.6 BYA
NA,1,Cellular Organisms: 3.6 BYA
SORD,1,Cellular Organisms: 3.6 BYA
NUBP2,1,Cellular Organisms: 3.6 BYA
PSMC5,1,Cellular Organisms: 3.6 BYA
MTHFD1,1,Cellular Organisms: 3.6 BYA
NOTCH4,1,Cellular Organisms: 3.6 BYA
NTRK3,1,Cellular Organisms: 3.6 BYA
DDX27,1,Cellular Organisms: 3.6 BYA
SLC6A1,1,Cellular Organisms: 3.6 BYA
DPM1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
ARSL,1,Cellular Organisms: 3.6 BYA
DDX46,1,Cellular Organisms: 3.6 BYA
DNAJC25-GNG10,1,Cellular Organisms: 3.6 BYA
PEX1,1,Cellular Organisms: 3.6 BYA
RARS2,1,Cellular Organisms: 3.6 BYA
AKR1C2,1,Cellular Organisms: 3.6 BYA
PHGDH,1,Cellular Organisms: 3.6 BYA
UBA3,1,Cellular Organisms: 3.6 BYA
ABCB11,1,Cellular Organisms: 3.6 BYA
ANKS3,1,Cellular Organisms: 3.6 BYA
DNAJC10,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
FGFR1,1,Cellular Organisms: 3.6 BYA
FADS1,1,Cellular Organisms: 3.6 BYA
SLC1A7,1,Cellular Organisms: 3.6 BYA
RPS15,1,Cellular Organisms: 3.6 BYA
AKR1C3,1,Cellular Organisms: 3.6 BYA
LDHC,1,Cellular Organisms: 3.6 BYA
RIPK1,1,Cellular Organisms: 3.6 BYA
SMC4,1,Cellular Organisms: 3.6 BYA
TATDN1,1,Cellular Organisms: 3.6 BYA
ANK2,1,Cellular Organisms: 3.6 BYA
CES3,1,Cellular Organisms: 3.6 BYA
PYCR3,1,Cellular Organisms: 3.6 BYA
ACO2,1,Cellular Organisms: 3.6 BYA
NDUFA10,1,Cellular Organisms: 3.6 BYA
UROD,1,Cellular Organisms: 3.6 BYA
ETFDH,1,Cellular Organisms: 3.6 BYA
HSPA1B,1,Cellular Organisms: 3.6 BYA
ELAC1,1,Cellular Organisms: 3.6 BYA
SLC26A5,1,Cellular Organisms: 3.6 BYA
DDR1,1,Cellular Organisms: 3.6 BYA
PMS2,1,Cellular Organisms: 3.6 BYA
CDK2,1,Cellular Organisms: 3.6 BYA
HSD17B4,1,Cellular Organisms: 3.6 BYA
SLC6A15,1,Cellular Organisms: 3.6 BYA
ADAT3,1,Cellular Organisms: 3.6 BYA
HARS1,1,Cellular Organisms: 3.6 BYA
RPL3,1,Cellular Organisms: 3.6 BYA
SIRT5,1,Cellular Organisms: 3.6 BYA
STK32A,1,Cellular Organisms: 3.6 BYA
CDYL2,1,Cellular Organisms: 3.6 BYA
DDX3X,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
NME6,1,Cellular Organisms: 3.6 BYA
NDUFS1,1,Cellular Organisms: 3.6 BYA
TGFBR1,1,Cellular Organisms: 3.6 BYA
MPST,1,Cellular Organisms: 3.6 BYA
SERPINA10,1,Cellular Organisms: 3.6 BYA
ABCF1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
NAPRT,1,Cellular Organisms: 3.6 BYA
POTEB,1,Cellular Organisms: 3.6 BYA
COQ5,1,Cellular Organisms: 3.6 BYA
GLYCTK,1,Cellular Organisms: 3.6 BYA
HSPA1L,1,Cellular Organisms: 3.6 BYA
MAPK10,1,Cellular Organisms: 3.6 BYA
NSF,1,Cellular Organisms: 3.6 BYA
P4HB,1,Cellular Organisms: 3.6 BYA
CTPS1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
AMT,1,Cellular Organisms: 3.6 BYA
SLC12A5,1,Cellular Organisms: 3.6 BYA
SERPINH1,1,Cellular Organisms: 3.6 BYA
STS,1,Cellular Organisms: 3.6 BYA
GMPPA,1,Cellular Organisms: 3.6 BYA
LRSAM1,1,Cellular Organisms: 3.6 BYA
MLH1,1,Cellular Organisms: 3.6 BYA
DHRS11,1,Cellular Organisms: 3.6 BYA
NME7,1,Cellular Organisms: 3.6 BYA
PMS2,1,Cellular Organisms: 3.6 BYA
ECI2,1,Cellular Organisms: 3.6 BYA
FGFR1,1,Cellular Organisms: 3.6 BYA
ABCC1,1,Cellular Organisms: 3.6 BYA
VARS2,1,Cellular Organisms: 3.6 BYA
ECI1,1,Cellular Organisms: 3.6 BYA
FGFR1,1,Cellular Organisms: 3.6 BYA
SLC27A3,1,Cellular Organisms: 3.6 BYA
FLAD1,1,Cellular Organisms: 3.6 BYA
MCCC2,1,Cellular Organisms: 3.6 BYA
MMAB,1,Cellular Organisms: 3.6 BYA
SLC6A2,1,Cellular Organisms: 3.6 BYA
ANK2,1,Cellular Organisms: 3.6 BYA
DDX5,1,Cellular Organisms: 3.6 BYA
EHMT2,1,Cellular Organisms: 3.6 BYA
RPS23,1,Cellular Organisms: 3.6 BYA
HACL1,1,Cellular Organisms: 3.6 BYA
MKNK1,1,Cellular Organisms: 3.6 BYA
MGMT,1,Cellular Organisms: 3.6 BYA
TRIT1,1,Cellular Organisms: 3.6 BYA
MSH5,1,Cellular Organisms: 3.6 BYA
SLC28A1,1,Cellular Organisms: 3.6 BYA
ADH6,1,Cellular Organisms: 3.6 BYA
KYAT1,1,Cellular Organisms: 3.6 BYA
MPP2,1,Cellular Organisms: 3.6 BYA
RDH13,1,Cellular Organisms: 3.6 BYA
ELAC2,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
GALE,1,Cellular Organisms: 3.6 BYA
GPD2,1,Cellular Organisms: 3.6 BYA
PRPSAP2,1,Cellular Organisms: 3.6 BYA
AZIN1,1,Cellular Organisms: 3.6 BYA
KIDINS220,1,Cellular Organisms: 3.6 BYA
GCKR,1,Cellular Organisms: 3.6 BYA
PRPSAP2,1,Cellular Organisms: 3.6 BYA
TRPC7,1,Cellular Organisms: 3.6 BYA
ACO2,1,Cellular Organisms: 3.6 BYA
HSPA8,1,Cellular Organisms: 3.6 BYA
SLC6A9,1,Cellular Organisms: 3.6 BYA
PHGDH,1,Cellular Organisms: 3.6 BYA
CRLS1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
SLC1A2,1,Cellular Organisms: 3.6 BYA
PCMTD2,1,Cellular Organisms: 3.6 BYA
RAD17,1,Cellular Organisms: 3.6 BYA
ENO3,1,Cellular Organisms: 3.6 BYA
SLC2A4,1,Cellular Organisms: 3.6 BYA
ASRGL1,1,Cellular Organisms: 3.6 BYA
GLS,1,Cellular Organisms: 3.6 BYA
FOXRED2,1,Cellular Organisms: 3.6 BYA
SLC22A8,1,Cellular Organisms: 3.6 BYA
HAGHL,1,Cellular Organisms: 3.6 BYA
KLHL28,1,Cellular Organisms: 3.6 BYA
PMPCA,1,Cellular Organisms: 3.6 BYA
HSPD1,1,Cellular Organisms: 3.6 BYA
DDX39B,1,Cellular Organisms: 3.6 BYA
SUCLA2,1,Cellular Organisms: 3.6 BYA
AARS1,1,Cellular Organisms: 3.6 BYA
TTC8,1,Cellular Organisms: 3.6 BYA
ASPG,1,Cellular Organisms: 3.6 BYA
VARS2,1,Cellular Organisms: 3.6 BYA
HSPA9,1,Cellular Organisms: 3.6 BYA
AK2,1,Cellular Organisms: 3.6 BYA
MCCC2,1,Cellular Organisms: 3.6 BYA
GMPPA,1,Cellular Organisms: 3.6 BYA
ANKRD11,1,Cellular Organisms: 3.6 BYA
ACSL3,1,Cellular Organisms: 3.6 BYA
RPS6KA3,1,Cellular Organisms: 3.6 BYA
MAPK10,1,Cellular Organisms: 3.6 BYA
RMDN2,1,Cellular Organisms: 3.6 BYA
DUS4L-BCAP29,1,Cellular Organisms: 3.6 BYA
SLC2A11,1,Cellular Organisms: 3.6 BYA
MPP2,1,Cellular Organisms: 3.6 BYA
BCAT2,1,Cellular Organisms: 3.6 BYA
DPP4,1,Cellular Organisms: 3.6 BYA
SLC1A7,1,Cellular Organisms: 3.6 BYA
SOD2,1,Cellular Organisms: 3.6 BYA
MSH5,1,Cellular Organisms: 3.6 BYA
DLST,1,Cellular Organisms: 3.6 BYA
PKM,1,Cellular Organisms: 3.6 BYA
KLHL8,1,Cellular Organisms: 3.6 BYA
BTK,1,Cellular Organisms: 3.6 BYA
CWC27,1,Cellular Organisms: 3.6 BYA
DLG1,1,Cellular Organisms: 3.6 BYA
HSPA1A,1,Cellular Organisms: 3.6 BYA
STK26,1,Cellular Organisms: 3.6 BYA
EPHA5,1,Cellular Organisms: 3.6 BYA
TKTL1,1,Cellular Organisms: 3.6 BYA
SLC1A3,1,Cellular Organisms: 3.6 BYA
DDX1,1,Cellular Organisms: 3.6 BYA
GALK2,1,Cellular Organisms: 3.6 BYA
MMAA,1,Cellular Organisms: 3.6 BYA
PALS2,1,Cellular Organisms: 3.6 BYA
SIRT5,1,Cellular Organisms: 3.6 BYA
CFTR,1,Cellular Organisms: 3.6 BYA
CFTR,1,Cellular Organisms: 3.6 BYA
HARS2,1,Cellular Organisms: 3.6 BYA
TRIM2,1,Cellular Organisms: 3.6 BYA
MAP2K1,1,Cellular Organisms: 3.6 BYA
ACP1,1,Cellular Organisms: 3.6 BYA
NFKBIE,1,Cellular Organisms: 3.6 BYA
MCCC2,1,Cellular Organisms: 3.6 BYA
ABCD4,1,Cellular Organisms: 3.6 BYA
PDXDC1,1,Cellular Organisms: 3.6 BYA
NAPRT,1,Cellular Organisms: 3.6 BYA
TRIB2,1,Cellular Organisms: 3.6 BYA
CDK7,1,Cellular Organisms: 3.6 BYA
CSNK1A1,1,Cellular Organisms: 3.6 BYA
VARS2,1,Cellular Organisms: 3.6 BYA
MTO1,1,Cellular Organisms: 3.6 BYA
DIMT1,1,Cellular Organisms: 3.6 BYA
PKM,1,Cellular Organisms: 3.6 BYA
RHCG,1,Cellular Organisms: 3.6 BYA
RPL8,1,Cellular Organisms: 3.6 BYA
SARS2,1,Cellular Organisms: 3.6 BYA
EEFSEC,1,Cellular Organisms: 3.6 BYA
SERPINB6,1,Cellular Organisms: 3.6 BYA
SERPINA1,1,Cellular Organisms: 3.6 BYA
ALG5,1,Cellular Organisms: 3.6 BYA
PPOX,1,Cellular Organisms: 3.6 BYA
